"1","愛の種","UR-001","1997-11-03","インディーズシングル","モーニング娘。","https://musicbrainz.org/release-group/21819227-1f1e-30d5-aae3-a917376a4303","0"
"2","GET","WPDV-7125","1997-11-05","シングル","平家みちよ","https://mdb.tower.jp/release/10265771/GET","0"
"3","モーニングコーヒー","EPDA-56","1998-01-28","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDA-56/","0"
"4","卒業 〜TOP OF THE WORLD〜","WPDV-7126","1998-02-15","シングル","平家みちよ","https://mdb.tower.jp/release/10342330/%E5%8D%92%E6%A5%AD","0"
"5","Teenage Dream","WPCV-7419","1998-03-25","オリジナルアルバム","平家みちよ","https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream","0"
"6","サマーナイトタウン","EPDE-1003","1998-05-27","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1003/","0"
"7","ダイキライ","WPDV-7152","1998-07-01","シングル","平家みちよ","https://musicbrainz.org/release-group/0704a774-3fd0-3cce-a8c2-cb7737a404e8","0"
"8","ファーストタイム","EPCE-5002","1998-07-08","オリジナルアルバム","モーニング娘。","http://www.up-front-works.jp/release/detail/EPCE-5002/","0"
"9","カラスの女房","EPDE-1006","1998-08-05","シングル","中澤裕子","http://www.up-front-works.jp/release/detail/EPDE-1006/","0"
"10","抱いて HOLD ON ME!","EPDE-1008","1998-09-09","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1008/","0"
"11","モーニング刑事。","EPCE-5006","1998-09-30","サウンドトラック","モーニング娘。&平家みちよ","http://www.helloproject.com/release/detail/EPCE-5006/","0"
"12","だけど 愛しすぎて","WPDV-7160","1998-10-25","シングル","平家みちよ","https://musicbrainz.org/release-group/2055bb8f-8a8a-3918-9edc-56d5d0095beb","0"
"13","ラストキッス","EPDE-1014","1998-11-18","シングル","タンポポ","http://www.up-front-works.jp/release/detail/EPDE-1014/","0"
"14","お台場ムーンライトセレナーデ","EPDE-1016","1998-12-02","シングル","中澤ゆうこ&高山厳","http://www.up-front-works.jp/release/detail/EPDE-1016/","0"
"15","中澤ゆうこ 第一章","EPCE-5010","1998-12-12","オリジナルアルバム","中澤ゆうこ","http://www.up-front-works.jp/release/detail/EPCE-5010/","0"
"16","Memory 青春の光","EPDE-1020","1999-02-10","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1020/","0"
"17","アナタの夢になりたい","WPDV-10002","1999-02-10","シングル","平家みちよ","https://mdb.tower.jp/release/10433101/%E3%82%A2%E3%83%8A%E3%82%BF%E3%81%AE%E5%A4%A2%E3%81%AB%E3%81%AA%E3%82%8A%E3%81%9F%E3%81%84","0"
"18","Motto","EPDE-1024","1999-03-10","シングル","タンポポ","http://www.up-front-works.jp/release/detail/EPDE-1024/","0"
"19","TANPOPO 1","EPCE-5017","1999-03-31","オリジナルアルバム","タンポポ","http://www.up-front-works.jp/release/detail/EPCE-5017/","0"
"20","月と太陽","EPDE-1030","1999-04-21","シングル","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPDE-1030/","0"
"21","真夏の光線","EPDE-1033","1999-05-12","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1033/","0"
"22","純情行進曲","EPDE-1031","1999-06-09","シングル","中澤ゆうこ","http://www.up-front-works.jp/release/detail/EPDE-1031/","0"
"23","たんぽぽ","EPDE-1037","1999-06-16","シングル","タンポポ","http://www.up-front-works.jp/release/detail/EPDE-1037/","0"
"24","ガタメキラ","EPDE-1040","1999-06-23","シングル","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPDE-1040/","0"
"25","ふるさと","EPDE-1044","1999-07-14","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1044/","0"
"26","二人の北海道","SPRE-002","1999-07-23","インディーズシングル","カントリー娘。","http://www.up-front-works.jp/release/detail/SPRE-002/","0"
"27","ハレーションサマー/サマーナイトタウン（English Version）","SRDL-4642","1999-07-23","シングル","ココナッツ娘","https://www.sonymusic.co.jp/artist/CoconutsMusume/discography/SRDL-4642","0"
"28","セカンドモーニング","EPCE-5025","1999-07-28","オリジナルアルバム","モーニング娘。","http://www.up-front-works.jp/release/detail/EPCE-5025/","0"
"29","宇宙でLa Ta Ta","EPDE-1047","1999-07-28","シングル","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPDE-1047/","0"
"30","scene","WPDV-10009","1999-07-28","シングル","平家みちよ","https://mdb.tower.jp/release/10433107/scene","0"
"31","Unchain My Heart","EPDE-1048","1999-08-04","シングル","三佳千夏","https://musicbrainz.org/release/922c5e2e-08e6-465c-8868-9915b2f21d02","0"
"32","Everyday Everywhere","EPDE-1051","1999-08-25","シングル","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPDE-1051/","0"
"33","DANCE & CHANCE","SRCL-4635","1999-08-25","シングル","ココナッツ娘","https://www.discogs.com/ja/release/3778509-Coconuts-Musume-Dance-Chance","0"
"34","LOVEマシーン","EPDE-1052","1999-09-09","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1052/","0"
"35","Magic of Love","EPCE-5028","1999-09-29","シングル","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPCE-5028/","0"
"36","聖なる鐘がひびく夜","EPDE-1056","1999-10-20","シングル","タンポポ","http://www.up-front-works.jp/release/detail/EPDE-1056/","0"
"37","Taiyo & Ciscomoon 1","EPCE-5032","1999-10-27","オリジナルアルバム","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPCE-5032/","0"
"38","Love, Yes I do!","EPDE-1062","1999-11-10","シングル","三佳千夏","https://musicbrainz.org/release-group/939e3ebf-8e49-3cd8-aea2-0a246661f1ec","0"
"39","ちょこっとLOVE","EPDE-1063","1999-11-25","シングル","プッチモニ","http://www.up-front-works.jp/release/detail/EPDE-1063/","0"
"40","雪景色","SPRE-003","1999-11-30","インディーズシングル","カントリー娘。","http://www.up-front-works.jp/release/detail/SPRE-003/","0"
"41","丸い太陽 -winter ver.-","EPDE-1065","1999-12-08","シングル","太陽とシスコムーン","http://www.up-front-works.jp/release/detail/EPDE-1065/","0"
"42","恋のダンスサイト","EPDE-1067","2000-01-26","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPDE-1067/","0"
"43","甘いあなたの味","EPDE-1068","2000-02-19","シングル","メロン記念日","http://www.up-front-works.jp/release/detail/EPDE-1068/","0"
"44","黄色いお空でBOOM BOOM BOOM","EPDE-1071","2000-03-08","シングル","黄色5","http://www.up-front-works.jp/release/detail/EPDE-1071/","0"
"45","青いスポーツカーの男","EPDE-1072","2000-03-08","シングル","青色7","http://www.up-front-works.jp/release/detail/EPDE-1072/","0"
"46","赤い日記帳","EPDE-1073","2000-03-08","シングル","あか組4","http://www.up-front-works.jp/release/detail/EPDE-1073/","0"
"47","3rd -LOVEパラダイス-","EPCE-5051","2000-03-29","オリジナルアルバム","モーニング娘。","http://www.up-front-works.jp/release/detail/EPCE-5051/","0"
"48","DON'T STOP 恋愛中","EPDE-1076","2000-04-19","シングル","T&Cボンバー","http://www.up-front-works.jp/release/detail/EPDE-1076/","0"
"49","鳴きうさぎ","TEDA-10465","2000-04-21","シングル","前田有紀","https://musicbrainz.org/release-group/eeff539e-1081-348d-ae0e-8b731238d371","0"
"50","北海道シャララ","SPRE-004","2000-04-23","インディーズシングル","カントリー娘。","http://www.up-front-works.jp/release/detail/SPRE-004/","0"
"51","プッチベスト 〜黄青あか〜","EPCE-5054","2000-04-26","ベストアルバム","ハロー!プロジェクト","http://www.up-front-works.jp/release/detail/EPCE-5054/","0"
"52","ハッピーサマーウェディング","EPCE-5056","2000-05-17","シングル","モーニング娘。","http://www.helloproject.com/release/detail/EPCE-5056/","0"
"53","常夏娘","SRCL-4817","2000-05-17","シングル","ココナッツ娘。","https://www.sonymusic.co.jp/artist/CoconutsMusume/discography/SRCL-4817","0"
"54","ワンルーム夏の恋物語","WPCV-10067","2000-05-17","シングル","平家みちよ","https://wmg.jp/heike/discography/2029/","0"
