"id","event_Name","performer","event_id","stagesN","description","tpltype"
"1","Juice=Juice ファーストライブツアー2014〜2015 News=News 〜各地よりお届けします!〜","Juice=Juice","SPJJ001","65","Juice=Juice初の単独ライブハウスツアー","0"
"2","Juice=Juiceファーストライブツアー2015 特別編!! 〜Special Juice〜","Juice=Juice","SPJJ002","5","Juice=Juice初のホールコンサートツアー","0"
"3","Juice=Juice LIVE MISSION 220 〜Code1→Begin to Run〜","Juice=Juice","SPJJ003","57","220ツアー第一弾","0"
"4","Juice=Juice LIVE MISSION 220 in Taipei & Hong Kong","Juice=Juice","SPJJ004","2","Juice=Juice初の海外公演","0"
"5","Juice=Juice LIVE MISSION 220 〜Special Code→J=J Day 2015〜","Juice=Juice","SPJJ005","4",,"0"
"6","Juice=Juice LIVE MISSION 220 〜Code2→NEXT to YOU〜","Juice=Juice","SPJJ006","57",,"0"
"7","Juice=Juice LIVE MISSION 220 〜Code3→Growing!〜","Juice=Juice","SPJJ007","46",,"0"
"8","Juice=Juice LIVE MISSION 220 〜Code3 Special→Growing Up!〜","Juice=Juice","SPJJ008","12",,"0"
"9","Juice=Juice LIVE MISSION 220 〜Last Code→Full Squeeze!〜","Juice=Juice","SPJJ009","43",,"0"
"10","Juice=Juice LIVE MISSION 220 〜Special Code→J=J Day 2016〜","Juice=Juice","SPJJ010","4",,"0"
"11","Juice=Juice LIVE MISSION FINAL at 日本武道館","Juice=Juice","SPJJ011","1","単独220公演を達成し、結成からハロプロ史上最速で立った日本武道館公演。","0"
"12","Juice=Juice LIVE AROUND 2017 〜NEXT ONE〜","Juice=Juice","SPJJ012","22",,"0"
"13","Juice=Juice LIVE AROUND 2017 〜NEXT ONE SPECIAL〜","Juice=Juice","SPJJ013","12",,"0"
"14","Juice=Juice LIVE AROUND 2017 〜Seven Horizon〜","Juice=Juice","SPJJ014","20","新メンバーが加入し7人体制となって初めての単独ツアー。梁川と段原の２人は7/17京都公演から参加。宮本は機能性発声障害により一時活動を休止していたが、8/31横浜公演で復帰した。","0"
"15","Juice=Juice LIVE AROUND 2017 〜World Tour〜","Juice=Juice","SPJJ015","7",NULL,"0"
"16","Juice=Juice LIVE AROUND 2017 〜in the World→J=J Day Special〜","Juice=Juice","SPJJ016","2",,"0"
"17","Juice=Juice LIVE AROUND 2017 〜Beyond the Beyond〜","Juice=Juice","SPJJ017","14",,"0"
"18","Juice=Juice LIVE AROUND 2017 FINAL at 日本武道館 〜Seven Squeeze!〜","Juice=Juice","SPJJ018","1",,"0"
"19","Juice=Juice LIVE GEAR 2018 〜Go ahead〜","Juice=Juice","SPJJ019","25",,"0"
"20","Juice=Juice LIVE GEAR 2018 〜Go ahead SPECIAL〜","Juice=Juice","SPJJ020","11",,"0"
"21","Juice=Juice LIVE GEAR 2018 〜Esperanza〜","Juice=Juice","SPJJ021","26",,"0"
"22","Juice=Juice LIVE GEAR 2018 〜Esperanza J=J DAY SPECIAL〜","Juice=Juice","SPJJ022","3",,"0"
"23","Juice=Juice LIVE 2018 at NIPPON BUDOKAN TRIANGROOOVE","Juice=Juice","SPJJ023","1",,"0"
"24","Juice=Juice LIVE TOUR 2019 〜GO FOR IT!〜","Juice=Juice","SPJJ024","11",,"0"
"25","Juice=Juice CONCERT TOUR 2019 〜JuiceFull!!!!!!!〜","Juice=Juice","SPJJ025","17",,"0"
"26","ハロプロ プレミアム Juice=Juice CONCERT TOUR 2019 〜JuiceFull!!!!!!!〜 FINAL 宮崎由加卒業スペシャル","Juice=Juice","SPJJ026","1",,"0"
"27","Juice=Juice LIVE TOUR 2019〜Con Amor〜","Juice=Juice","SPJJ027","39",,"0"
"28","Juice=Juice LIVE TOUR 2019〜Con Amor J=J DAY SPECIAL〜","Juice=Juice","SPJJ028","1",,"0"
"29","Juice=Juice Concert 2019 〜octopic!〜","Juice=Juice","SPJJ029","1",,"0"
"30","Juice=Juice LIVE TOUR 2020 〜NEW SENSATION〜","Juice=Juice","SPJJ030","5",,"0"
"31","Juice=Juice コンサート2020 〜続いていくSTORY〜 宮本佳林卒業スペシャル","Juice=Juice","SPJJ031","1",,"0"
"32","Juice=Juice Concert 2021 〜FAMILIA〜 金澤朋子ファイナル","Juice=Juice","SPJJ032","1",,"0"
"33","Hello! Project 2022 Spring CITY CIRCUIT Juice=Juice CONCERT TOUR 〜terzo〜","Juice=Juice","SPJJ033","15","Hello! Project 2022 Spring CITY CIRCUIT","0"
"34","モーニング娘。 平家みちよ ファーストコンサート Hello!","モーニング娘。 / 平家みちよ","HC98001","5",,"0"
"35","Hello! ハッピーニューイヤー '99","モーニング娘。 / 中澤ゆうこ / タンポポ / 平家みちよ","HC99001","4",,"0"
"36","Hello! Project サマーコンサート '99","モーニング娘。 / 中澤ゆうこ / タンポポ / 平家みちよ / 太陽とシスコムーン / ココナッツ娘。 / カントリー娘。 / 三佳千夏","HC99002","4",,"0"
"37","Hello! Project ハッピーニューイヤー 2000","モーニング娘。 / 中澤ゆうこ / タンポポ / プッチモニ / 平家みちよ / 太陽とシスコムーン / ココナッツ娘。 / カントリー娘。 / 三佳千夏 / メロ","HC00001","16",,"0"
"38","Hello! Project 2000 集まれ! サマーパーティ","モーニング娘。 / 中澤ゆうこ / タンポポ / プッチモニ / 平家みちよ / T&Cボンバー / ココナッツ娘。 / カントリー娘。 / 三佳千夏 / メロン記","HC00002","17",,"0"
"39","Hello! Project 2001 すごいぞ! 21世紀","モーニング娘。 / 中澤ゆうこ / タンポポ / プッチモニ / 平家みちよ / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記念日 / 前田有紀 / ","HC01001","20",,"0"
"40","Hello! Project 2001 TOGETHER! サマーパーティー!","モーニング娘。 / 中澤裕子 / タンポポ / プッチモニ / ミニモニ。 / 平家みちよ / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記念日 / ","HC01002","14",,"0"
"41","Hello! Project 2002 〜今年もすごいぞ〜","モーニング娘。 / 中澤裕子 / タンポポ / プッチモニ / ミニモニ。 / 平家みちよ / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記念日 / ","HC02001","28",,"0"
"42","Hello! Project 2002 〜ONE HAPPY SUMMER DAY〜","モーニング娘。 / 中澤裕子 / 後藤真希 / ミニモニ。 / 平家みちよ / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記念日 / 前田有紀 / 松","HC02002","12",,"0"
"43","Hello! Project 2003 Winter 〜楽しんじゃってます!〜","モーニング娘。 / 中澤裕子 / 後藤真希 / タンポポ / プッチモニ / ミニモニ。 / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記念日 / 前","HC03001","25",,"0"
"44","Hello! Project 2003 夏 〜よっしゃ! ビックリサマー!!〜","モーニング娘。 / 中澤裕子 / 安倍なつみ / 保田圭 / 後藤真希 / ミニモニ。 / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記念日 / 前田","HC03002","12",,"0"
"45","Hello! Project 2004 Winter 〜C'MON! ダンスワールド〜","モーニング娘。 / 中澤裕子 / 飯田圭織 / 安倍なつみ / 保田圭 / 後藤真希 / ミニモニ。 / 稲葉貴子 / ココナッツ娘。 / カントリー娘。 / メロン記","HC04001","23",,"0"
"46","Hello! Project 2004 Summer 〜夏のドーン〜","モーニング娘。 / 中澤裕子 / 飯田圭織 / 安倍なつみ / 保田圭 / 後藤真希 / W / 稲葉貴子 / アヤカ（ココナッツ娘。） / カントリー娘。 / メロン","HC04002","12",,"0"
"47","Hello! Project 2005 Winter 〜A HAPPY NEW POWER! 紅組〜","モーニング娘。 / カントリー娘。 / メロン記念日 / 松浦亜弥 / 美勇伝 / ハロー!プロジェクト / キッズ（後の℃-ute） / H.P.オールス","HC05001","9",,"0"
"48","Hello! Project 2005 Winter 〜A HAPPY NEW POWER! 白組〜","中澤裕子 / 保田圭 / 後藤真希 / W / 稲葉貴子 / アヤカ（ココナッツ娘。） / 前田有紀 / Berryz工房 / H.P.オールスターズ / ハロプロ","HC05002","9",,"0"
"49","Hello! Project 2005 Winter オールスターズ大乱舞〜A HAPPY NEW POWER! 飯田圭織卒業スペシャル〜","モーニング娘。 / 中澤裕子 / 保田圭 / 後藤真希 / 美勇伝 / W / 稲葉貴子 / カントリー娘。 / アヤカ（ココナッツ娘。） / メロン記念日 / 前田有","HC05003","4",,"0"
"50","Hello! Project 2005 夏の歌謡ショー 〜'05 セレクション! コレクション!〜","モーニング娘。 / 中澤裕子 / 飯田圭織 / 安倍なつみ / 保田圭 / 後藤真希 / 美勇伝 / W / 稲葉貴子 / アヤカ（ココナッツ娘。） / カントリー娘。","HC05004","8",,"0"
"51","Hello! Project 2006 Winter 〜エルダークラブ〜","モーニング娘。 / 美勇伝 / W / Berryz工房 / ℃-ute / ハロプロエッグ選抜","HC06001","13",,"0"
"52","Hello! Project 2006 Winter 〜ワンダフルハーツ〜","飯田圭織 / 安倍なつみ / 保田圭 / 後藤真希 / 稲葉貴子 / アヤカ（ココナッツ娘。） / カントリー娘。 / メロン記念日 / 前田有紀 / 松浦亜弥 / ハ","HC06002","14",,"0"
"53","Hello! Project 2006 Winter 〜全員集GO!〜","モーニング娘。 / 飯田圭織 / 安倍なつみ / 保田圭 / 後藤真希 / 美勇伝 / W / 稲葉貴子 / アヤカ（ココナッツ娘。） / カントリー娘。 / メロン記","HC06003","3",,"0"
"54","Hello! Project 2006 Summer 〜ワンダフルハーツランド〜","モーニング娘。 / 美勇伝 / 辻希美（W） / Berryz工房 / ℃-ute / 月島きらり starring 久住小春（モーニング娘。） / ハ","HC06004","7",,"0"
"55","Hello! Project 2007 Winter 〜ワンダフルハーツ 乙女Gocoro〜","モーニング娘。 / 美勇伝 / 辻希美 / Berryz工房 / ℃-ute / 月島きらり starring 久住小春（モーニング娘。） / THE ","HC07001","11",,"0"
"56","Hello! Project 2007 Winter 〜エルダークラブ The Celebration〜","中澤裕子 / 飯田圭織 / 安倍なつみ / 保田圭 / 矢口真里 / 後藤真希 / 稲葉貴子 / アヤカ（ココナッツ娘。） / カントリー娘。 / メロン記念日 / 前","HC07002","11",,"0"
"57","Hello! Project 2007 Winter 〜集結! 10th Anniversary〜","モーニング娘。 / 中澤裕子 / 飯田圭織 / 安倍なつみ / 保田圭 / 矢口真里 / 後藤真希 / 美勇伝 / 辻希美 / 稲葉貴子 / アヤカ（ココナッツ娘。） / ","HC07003","3",,"0"
"58","Hello! Project 2007 Summer 10th アニバーサリー大感謝祭 〜ハロ☆プロ夏祭り〜","モーニング娘。 / 美勇伝 / メロン記念日 / Berryz工房 / ℃-ute / 矢口真里 / 月島きらり starring 久住小春（モーニング","HC07004","11",,"0"
"59","Hello! Project 2008 Winter 〜ワンダフルハーツ 年中夢求〜","モーニング娘。 / Berryz工房 / ℃-ute / 月島きらり starring 久住小春（モーニング娘。） / Buono! / アテナ&ロ","HC08001","11",,"0"
