"1","愛の種","モーニング娘。","https://www.youtube.com/embed/JCEF5cmlP-4"
"2","GET","平家みちよ",NULL
"3","プリペアー","平家みちよ",NULL
"4","モーニングコーヒー","モーニング娘。","https://www.youtube.com/embed/S1zTityRnO8"
"5","卒業 〜TOP OF THE WORLD〜","平家みちよ",NULL
"6","支えてくれなくちゃ","平家みちよ",NULL
"7","Start!","平家みちよ",NULL
"8","スキップ","平家みちよ",NULL
"9","オンナのエボリューション","平家みちよ",NULL
"10","ふりむかないで","平家みちよ",NULL
"11","ひとりぐらし","平家みちよ",NULL
"12","赤い月","平家みちよ",NULL
"13","Teenage Dream","平家みちよ",NULL
"14","Hey! Hey! Girls Soul","平家みちよ",NULL
"15","サマーナイトタウン","モーニング娘。","https://www.youtube.com/embed/Hpk-ZqQpq7Y"
"16","A MEMORY OF SUMMER '98","モーニング娘。",NULL
"17","ダイキライ","平家みちよ",NULL
"18","Fall the rain","平家みちよ",NULL
"19","Good Morning","モーニング娘。",NULL
"20","どうにかして土曜日","モーニング娘。",NULL
"21","夢の中","モーニング娘。",NULL
"22","ワガママ","モーニング娘。",NULL
"23","未来の扉","モーニング娘。",NULL
"24","ウソつきあんた","モーニング娘。",NULL
"25","さみしい日","モーニング娘。",NULL
"26","カラスの女房","中澤裕子",NULL
"27","音無橋","中澤裕子",NULL
"28","抱いて HOLD ON ME!","モーニング娘。","https://www.youtube.com/embed/0yHDWYYAfJQ"
"29","例えば","モーニング娘。",NULL
"30","だけど 愛しすぎて","平家みちよ",NULL
"31","おねがいネイル","平家みちよ＆モーニング娘。",NULL
"32","ヨロシク!","モーニング娘。",NULL
"33","恋のABC","モーニング娘。",NULL
"34","強くならなくちゃ…ね","平家みちよ",NULL
"35","深呼吸しよう!!","平家みちよ",NULL
"36","ラストキッス","タンポポ",NULL
"37","時間よ止まれ","タンポポ",NULL
"38","お台場ムーンライトセレナーデ","中澤ゆうこ&高山厳",NULL
"39","恋人たちのバラード","中澤ゆうこ&高山厳",NULL
"40","捨てないでよ","中澤ゆうこ",NULL
"41","大阪ラプソディー","中澤ゆうこ",NULL
"42","恋","中澤ゆうこ",NULL
"43","つぐない","中澤ゆうこ",NULL
